,2018-2019,2019-2020,2020-2021,2021-2022
1,6.5,6.5,8.0,9.0
2,16731,16731,16731,16731
3,26,14,31,17
4,1,,1,
5,,,1,
6,2325,,2084,
7,,,,
8,28,16,27,10
9,6,3,12,9
10,100,79,81,65
11,,14,13,27
12,68,21,310,45
13,7,4,5,2
14,1,,,
15,31,50,45,41
16,31,14,32,41
17,38,36,23,18
