,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,11.0,11.0,13.5,13.5,13.5,13.5,11.0
2,39173.0,42692.0,42692.0,80192.0,80192.0,80192.0,80192.0
3,25.0,36.0,34.0,32.0,33.0,32.0,23.0
4,3.0,1.0,1.0,2.0,3.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,722.0,3100.0,2979.0,1425.0,943.0,2744.0,1988.0
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,39.0,59.0,37.0,38.0,41.0,48.0,20.0
9,6.0,9.0,13.0,8.0,10.0,6.0,10.0
10,92.0,100.0,100.0,100.0,100.0,100.0,96.0
11,7.0,3.3333333333333335,1.0,1.0,1.0,2.0,8.0
12,8.0,10.0,12.0,5.0,12.0,5.0,5.0
13,8.0,10.0,12.0,5.0,12.0,5.0,5.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,24.0,25.0,41.0,22.0,33.0,25.0,48.0
16,32.0,25.0,26.0,44.0,33.0,34.0,22.0
17,44.0,50.0,32.0,34.0,33.0,41.0,30.0
