,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,23.0,22.0,19.0,14.0,19.0,19.0,17.0,30.0,24.0
2,208269,80615,97231,615,101577,101538,208269,208269,208269
3,36,31,34,33,36,34,35,36,33
4,9,4,11,8,5,7,8,3,2
5,7,5,5,4,6,8,3,4,10
6,340,604,266,342,638,429,378,1038,1353
7,,,,,,,,,
8,31,37,28,39,56,33,49,43,32
9,13,7,11,6,7,11,6,8,11
10,97,90,97,91,100,100,100,100,97
11,1,3,1,5,,,1,,2
12,95,82,89,87,95,89,92,95,87
13,5,6,14,9,9,16,5,4,3
14,1,,1,,,1,1,,
15,42,29,59,33,36,59,34,39,45
16,42,29,26,27,19,18,29,33,21
17,17,42,15,39,44,24,37,28,33
