,2018-2019,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,27.0,22.0,1.5,3.625,3.0,3.625
2,57692.0,9904.0,57692.0,57692.0,57692.0,57692.0
3,25.0,29.0,23.0,23.0,25.0,26.0
4,11.0,16.0,6.0,11.0,6.0,6.0
5,2.0,6.0,3.0,3.0,2.0,2.0
6,133.0,134.0,191.0,172.0,322.0,249.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,11.0,12.0,27.0,27.0,14.0
9,11.0,15.0,8.0,4.0,6.0,11.0
10,60.0,90.0,48.0,96.0,84.0,73.0
11,13.0,4.0,12.0,1.0,4.0,12.0
12,1.0,1.0,12.0,2.0,2.0,12.0
13,1.0,1.0,0.0,2.0,2.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,80.0,76.0,74.0,35.0,44.0,58.0
16,4.0,17.0,9.0,35.0,20.0,19.0
17,16.0,7.0,17.0,30.0,36.0,23.0
