,2019-2020,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
1,22.0,26.0,29.0,21.0,18.0,23.778,20.0,19.0
2,137224,137224,47,47,47,137224,137224,137224
3,21,20,17,36,33,35,36,28
4,,,,1,2,1,1,1
5,2,,4,3,2,7,1,
6,,,,3122,1171,2695,3118,2437
7,,,,,,,,
8,13,18,7,28,34,24,26,37
9,11,5,10,16,8,16,17,6
10,86,60,88,97,85,86,97,100
11,9,25,2,1,9,6,1,2
12,55,53,100,95,87,92,95,74
13,2,2,3,10,5,3,6,7
14,,,,1,1,,,1
15,57,70,65,69,33,77,67,54
16,24,5,18,25,39,9,14,25
17,19,25,18,6,27,14,19,21
