,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,33.0,32.0,19.0,17.0,26.0,30.0
2,16519.0,158731.0,160250.0,176154.0,176154.0,189038.0,189038.0
3,34.0,23.0,32.0,30.0,9.0,35.0,31.0
4,4.0,3.0,6.0,1.0,3.0,5.0,10.0
5,10.0,2.0,6.0,4.0,1.0,2.0,1.0
6,706.0,361.0,308.0,1778.0,112.0,374.0,173.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,57.0,14.0,24.0,26.0,3.0,17.0,13.0
9,6.0,6.0,8.0,11.0,5.0,16.0,13.0
10,97.0,48.0,59.0,63.0,33.0,60.0,61.0
11,3.0,22.0,16.0,13.0,8.0,15.0,14.0
12,3.0,12.0,2.0,3.0,12.0,1.0,2.0
13,3.0,0.0,2.0,3.0,0.0,1.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,32.0,83.0,56.0,53.0,89.0,66.0,74.0
16,21.0,13.0,25.0,13.0,11.0,23.0,16.0
17,47.0,4.0,19.0,33.0,0.0,11.0,10.0
