,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,6.0,12.833,12.833,15.0
2,23462.0,23462.0,23462.0,23462.0,23462.0
3,31.0,29.0,19.0,33.0,28.0
4,0.0,1.0,0.0,1.0,0.0
5,1.0,4.0,2.0,3.0,1.0
6,0.0,2528.0,0.0,2226.0,0.0
7,0.0,0.0,0.0,0.0,1.0
8,20.0,30.0,16.0,30.0,24.0
9,12.0,10.0,5.0,12.0,9.0
10,87.0,100.0,58.0,82.0,79.0
11,7.0,10.5,13.0,8.0,14.0
12,2.0,8.0,2.0,5.0,4.0
13,2.0,8.0,2.0,5.0,4.0
14,0.0,0.0,2.0,0.0,0.0
15,29.0,41.0,37.0,61.0,57.0
16,58.0,28.0,21.0,15.0,25.0
17,13.0,31.0,42.0,24.0,18.0
