,2019-2020,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021
1,11.0,11.0,16.0,6.0,18.0,6.0,11.0,10.0,11.0
2,36731.0,28808.0,25327.0,11308.0,11250.0,26250.0,28596.0,29423.0,36731.0
3,28.0,28.0,4.0,28.0,25.0,27.0,29.0,31.0,24.0
4,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
5,3.0,1.0,5.5,5.5,9.0,8.0,8.0,4.0,5.5
6,0.0,0.0,0.0,2346.0,2186.0,1131.0,1132.0,0.0,1318.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,29.0,15.0,5.0,25.0,25.0,19.0,42.0,40.0,19.0
9,5.0,8.0,1.0,12.0,7.0,11.0,9.0,9.0,10.0
10,89.0,61.0,75.0,96.0,100.0,100.0,86.0,87.0,71.0
11,6.0,18.0,1.0,1.0,1.0,3.0,4.0,4.0,8.0
12,8.0,4.0,2.0,1.0,4.0,2.0,7.0,8.0,4.0
13,8.0,4.0,2.0,1.0,4.0,2.0,7.0,8.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,36.0,54.0,50.0,86.0,72.0,67.0,52.0,35.0,54.0
16,25.0,18.0,25.0,4.0,24.0,26.0,14.0,19.0,25.0
17,39.0,29.0,25.0,11.0,4.0,7.0,34.0,45.0,21.0
