,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.25,0.5,2.0,13.3,11.0,2.5,20.0,17.0,16.0
2,0,9885,10558,10692,17885,28462,28462,28462,28462
3,14,23,31,6,33,35,32,22,21
4,,,,,,5,,2,
5,2,2,,1,2,5,4,1,
6,,,,,,595,,874,
7,1,1,,,,,,,
8,13,30,42,4,28,39,34,23,21
9,2,3,7,3,8,9,9,6,5
10,93,78,100,50,79,94,78,91,76
11,1,8,1,12,11,4,11,3,7
12,41,68,91,38,87,92,84,58,55
13,4,3,6,2,3,5,10,3,1
14,1,,,,,,,,
15,50,35,42,50,39,54,59,64,38
16,21,35,26,50,33,23,25,27,24
17,29,30,32,0,27,23,16,9,38
