,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Lyon
1,27.0,28.0,29.0,22.0,29.0,20.0,36.0,27.0,21.0
2,"€94,962.00","€182,519.00","€220,115.00","€227,808.00","€229,981.00","€230,769.00","€230,769.00","€80,769.00","€80,769.00"
3,25,27,19,13,19,19,24,29,24
4,1,,,,1,,,1,
5,1,,3,1,2,2,2,,1
6,2165,,,,1640,,,2367,
7,,,,,,,,,
8,13,13,9,9,12,16,15,33,28
9,14,17,10,5,11,7,11,7,5
10,100%,93%,89%,77%,100%,95%,96%,100%,79%
11,,4,2,9,7,13,7,3,8
12,74%,79%,56%,38%,56%,56%,71%,85%,71%
13,6,2,4,1,4,1,5,6,6
14,1,1,1,,,,1,,
15,96%,74%,84%,77%,89%,74%,79%,72%,50%
16,4%,11%,11%,15%,11%,16%,8%,17%,25%
17,0,15%,5%,8%,0,11%,13%,10%,25%
