,2020-2021,2021-2022
0,Reims,Reims
1,2.0,2.0
2,"€4,808.00",€0.00
3,33,21
4,4,2
5,1,4
6,312,597
7,,
8,27,13
9,8,4
10,33%,71%
11,25,6
12,87%,55%
13,4,2
14,,
15,21%,33%
16,39%,29%
17,39%,38%
