,2019-2020,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,16.333,18.0,16.333,17.0,21.0,20.0
2,48077.0,48077.0,61731.0,61731.0,61731.0,61731.0
3,28.0,1.0,22.0,24.0,34.0,21.0
4,3.0,0.0,0.0,1.0,5.0,3.0
5,3.0,3.0,3.0,4.0,2.0,3.0
6,691.0,0.0,0.0,1656.0,341.0,456.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,41.0,0.0,19.0,31.0,16.0,16.0
9,5.0,6.8,7.0,6.0,8.0,8.0
10,86.0,69.6,59.0,79.0,53.0,71.0
11,4.0,1.0,13.0,6.0,18.0,8.0
12,8.0,12.0,3.0,6.0,5.0,1.0
13,8.0,0.0,3.0,6.0,5.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,29.0,0.0,45.0,25.0,68.0,48.0
16,29.0,100.0,41.0,25.0,15.0,24.0
17,43.0,0.0,14.0,50.0,18.0,29.0
