,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,24.0,19.0,19.0,19.0,19.0,13.0,26.0,19.0,10.0
2,11788,17673,17115,23692,26346,27,12,12,12
3,36,22,31,25,33,32,13,9,31
4,,,,,1,,,,1
5,,,1,,,,,,1
6,,,,,2680,,,,2720
7,,,,,1,,,,
8,38,13,44,42,49,43,8,6,47
9,13,7,8,5,6,7,7,4,7
10,97,64,94,84,94,97,62,100,100
11,1,22,6,15,5,7,13,24,6
12,86,58,82,66,87,84,34,24,82
13,2,5,6,4,3,1,4,2,1
14,,,,1,,,,,1
15,50,36,45,32,36,38,54,67,23
16,14,41,23,12,27,22,38,0,35
17,36,23,32,56,36,41,8,33,42
