,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,Freiburg,Feyenoord
1,6.0,6.875,1.5,3.0,24.0
2,"€21,154.00","€20,769.00","€20,769.00","€20,769.00","€20,769.00"
3,10,33,33,7,32
4,2,9,12,,15
5,,3,4,,3
6,161,314,248,,172
7,,,,,
8,5,35,39,1,32
9,3,12,14,1,12
10,30%,100%,100%,14%,100%
11,19,,,22,1
12,29%,97%,97%,21%,94%
13,1,4,4,1,2
14,,,,,
15,50%,67%,52%,29%,63%
16,40%,12%,21%,14%,16%
17,10%,21%,27%,57%,22%
