,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.6,17.0,5.0,27.0,17.0,26.0
2,86538.0,86538.0,240385.0,240385.0,240385.0,240385.0
3,32.0,22.0,30.0,32.0,27.0,25.0
4,8.0,3.0,4.0,9.0,8.0,1.0
5,4.0,4.0,3.0,6.0,3.0,1.0
6,324.0,597.0,588.0,278.0,253.0,905.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,33.0,28.0,18.0,26.0,24.0,11.0
9,10.0,4.0,16.0,10.0,11.0,8.0
10,97.0,95.0,87.0,94.0,89.0,32.0
11,1.0,1.0,5.0,2.0,5.0,17.0
12,3.0,4.0,9.0,4.0,8.0,12.0
13,3.0,4.0,9.0,4.0,8.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,59.0,50.0,63.0,53.0,52.0,68.0
16,22.0,18.0,27.0,34.0,26.0,12.0
17,19.0,32.0,10.0,13.0,22.0,20.0
