,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,13.3,11.833,11.833,11.833,12.0,7.0,11.833,13.5,13.5
2,27865.0,27865.0,26769.0,32173.0,70481.0,71231.0,71154.0,53462.0,53462.0,53462.0
3,35.0,31.0,33.0,33.0,19.0,33.0,8.0,28.0,34.0,31.0
4,7.0,5.0,7.0,6.0,3.0,8.0,3.0,3.0,3.0,4.0
5,2.0,2.0,4.0,8.0,3.0,3.0,1.0,5.0,2.0,5.0
6,376.0,503.0,368.0,474.0,522.0,318.0,215.0,444.0,752.0,567.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42.0,35.0,37.0,35.0,20.0,29.0,10.0,15.0,38.0,31.0
9,7.0,9.0,7.0,9.0,7.0,10.0,8.444444444444445,9.0,9.0,9.0
10,89.0,94.0,85.0,94.0,100.0,91.0,100.0,46.0,79.0,90.0
11,4.0,2.0,5.0,2.0,1.0,3.0,5.666666666666667,23.0,7.0,4.0
12,8.0,2.0,4.0,8.0,3.0,3.0,12.0,2.0,4.0,7.0
13,8.0,2.0,4.0,8.0,3.0,3.0,0.0,2.0,4.0,7.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,31.0,45.0,27.0,42.0,53.0,42.0,38.0,57.0,26.0,48.0
16,23.0,13.0,39.0,27.0,21.0,30.0,38.0,25.0,35.0,10.0
17,46.0,42.0,33.0,30.0,26.0,27.0,25.0,18.0,38.0,42.0
