,2019-2020,2018-2019,2020-2021,2021-2022
1,6.5,6.5,8.0,9.0
2,21346,21346,21346,21346
3,31,4,33,37
4,1,,,1
5,,1,1,1
6,2394,,,3330
7,,,,
8,30,5,30,37
9,8,,12,19
10,81,75,91,100
11,11,4,6,
12,47,16,330,97
13,6,1,5,6
14,,,1,
15,48,0,45,43
16,23,0,27,30
17,29,100,27,27
