,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,1.0,1.0,1.0,1.0,1.0
2,15962.0,15962.0,15962.0,15962.0,15962.0,15962.0
3,13.0,31.0,27.0,28.0,31.0,35.0
4,0.0,0.0,0.0,0.0,1.0,0.0
5,2.0,1.0,2.0,2.0,2.0,3.0
6,0.0,0.0,0.0,0.0,2607.0,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0
8,23.0,39.0,33.0,48.0,42.0,51.0
9,1.0,8.0,10.0,7.0,5.0,7.0
10,85.0,90.0,89.0,96.0,94.0,100.0
11,9.0,7.0,9.0,3.0,3.0,6.2
12,1.0,5.0,6.0,9.0,2.0,13.0
13,1.0,5.0,6.0,9.0,2.0,13.0
14,0.0,0.0,1.0,0.0,0.0,0.0
15,38.0,42.0,41.0,32.0,35.0,29.0
16,31.0,19.0,22.0,14.0,23.0,17.0
17,31.0,39.0,37.0,54.0,42.0,54.0
