,2020-2021,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,8.0,22.0,15.0,6.5,6.5,9.0
2,75192.0,44615.0,75192.0,75192.0,75192.0,75192.0
3,26.0,8.0,24.0,29.0,36.0,34.0
4,2.0,0.0,1.0,3.0,5.0,4.0
5,4.0,2.0,1.0,3.0,1.0,1.0
6,1077.0,0.0,1347.0,685.0,628.0,723.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,22.0,4.0,18.0,29.0,43.0,24.0
9,11.0,2.0,5.0,7.0,9.0,19.0
10,96.0,25.0,58.0,83.0,97.0,97.0
11,2.0,13.0,17.0,6.0,1.0,1.0
12,5.0,1.0,4.0,9.0,9.0,8.0
13,5.0,1.0,4.0,9.0,9.0,8.0
14,0.0,0.0,0.0,1.0,0.0,0.0
15,42.0,38.0,21.0,38.0,44.0,50.0
16,31.0,38.0,29.0,24.0,22.0,29.0
17,27.0,25.0,50.0,38.0,33.0,21.0
