,2020-2021,2018-2019,2021-2022
0,Real Betis,Real Betis,Real Betis
1,11.0,10.0,11.0
2,"GROSS P/W
(IN EUR)","€9,808.00","€9,808.00"
3,10,,9
4,,,
5,,,
6,,,
7,,,
8,3,,3
9,4,,4
10,40%,,67%
11,27,,21
12,26%,,24%
13,4,,2
14,1,,1
15,40%,,44%
16,30%,,22%
17,30%,,33%
