,2021-2022,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,20.0,11.833,11.833,11.833,12.0,7.0,4.0,4.0
2,106923.0,9654.0,28192.0,24923.0,24923.0,24923.0,24923.0,106923.0
3,31.0,0.0,2.0,25.0,21.0,29.0,33.0,34.0
4,3.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0
5,4.0,2.6,2.6,1.0,2.6,4.0,2.0,2.0
6,719.0,0.0,0.0,847.0,0.0,924.0,0.0,721.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,22.0,0.0,3.0,19.0,10.0,34.0,43.0,47.0
9,11.0,7.0,1.0,9.0,7.0,7.0,6.0,8.0
10,74.0,68.0,50.0,68.0,24.0,72.0,94.0,94.0
11,8.0,14.0,14.0,19.0,33.0,16.0,6.0,2.0
12,6.0,12.0,1.0,7.0,4.0,6.0,9.0,9.0
13,6.0,0.0,1.0,7.0,4.0,6.0,9.0,9.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,48.0,38.0,0.0,56.0,52.0,21.0,39.0,50.0
16,29.0,31.714285714285715,50.0,28.0,24.0,38.0,27.0,26.0
17,23.0,30.142857142857142,50.0,16.0,24.0,41.0,33.0,24.0
