,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar
1,3.0,6.0,6.875,1.5,8.0,6.0,13.0
2,"€1,731.00","€2,173.00","€24,231.00","€9,615.00","€9,615.00","€9,615.00","€9,615.00"
3,4,2,26,17,11,23,28
4,,,1,1,1,,
5,,,1,1,,1,
6,,,2109,1193,742,,
7,,,,,,,
8,5,5,21,18,1,31,29
9,1,,11,6,7,4,3
10,25%,100%,92%,76%,64%,96%,89%
11,6,6,9,20,7,2,7
12,20%,6%,76%,50%,44%,68%,82%
13,1,,3,5,2,5,6
14,,,,,,,
15,25%,50%,73%,41%,64%,52%,54%
16,25%,0,15%,29%,18%,30%,21%
17,50%,50%,12%,29%,18%,17%,25%
