,2020-2021,2017-2018,2018-2019,2019-2020,2021-2022
1,10.0,10.0,10.0,10.0,10.0
2,43077.0,22673.0,35577.0,43077.0,43077.0
3,25.0,33.0,12.0,20.0,9.0
4,1.0,1.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0
6,2109.0,2941.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,0.0
8,23.0,42.0,15.0,22.0,11.0
9,7.0,9.0,3.0,4.0,5.75
10,92.0,100.0,92.0,80.0,78.0
11,14.0,1.0,22.0,21.0,26.0
12,6.0,11.0,4.0,7.0,2.0
13,6.0,11.0,4.0,7.0,2.0
14,0.0,0.0,0.0,0.0,0.0
15,32.0,24.0,42.0,20.0,22.0
16,36.0,36.0,17.0,30.0,22.0
17,32.0,39.0,42.0,50.0,56.0
