,2021-2022,2019-2020,2020-2021
0,Ajax,Ajax,Ajax
1,22.0,13.0,19.0
2,"£120,000.00","£120,000.00","£120,000.00"
3,24,24,26
4,1,2,3
5,3,1,1
6,1906,1015,585
7,,,
8,11,19,13
9,17,7,12
10,96%,100%,65%
11,1,1,16
12,71%,96%,76%
13,4,3,3
14,,,
15,75%,71%,85%
16,13%,8%,8%
17,13%,21%,8%
